,tweet,created_at
73,These photos show the devastating impact climate change had in 2018 https://www.buzzfeednews.com/article/laurageiser/2018-photos-climate-change-natural-disasters?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546196700000
74,13 stories — that aren't about Trump — that explain what it was like to live in the US during this tumultuous year https://www.buzzfeednews.com/article/marisacarroll/these-stories-explain-2018-without-being-all-about-trump?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546195200000
75,This is the year that truly challenged people's trust in Amazon. But it didn't keep them from shopping on the site. https://www.buzzfeednews.com/article/leticiamiranda/amazon-2018-controversies-scrutiny?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546193700000
76,"In response to the Trump administration policies making it difficult to seek asylum elsewhere along the border, hundreds of migrant people are crossing through dangerous parts of the Arizona desert. The situation is humanitarian activists’ worst nightmare. https://www.buzzfeednews.com/article/johnstanton/migrants-arizona-alarming-advocates?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546192200000
77,Venus Williams said it was hard not to get distracted watching her adorable niece Olympia Ohanian cheer and applaud during her match with Serena Williams https://www.buzzfeednews.com/article/stephaniemcneal/serena-williams-baby-clapping-tennis-match?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546190700000
78,A bald eagle that was supposed to do a flyover at a college football game went rogue https://www.buzzfeednews.com/article/claudiakoerner/a-bald-eagle-went-rogue-at-the-clemson-notre-dame-football?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546189929000
79,A woman has been charged with involuntary manslaughter for failing to treat her 14-year-old daughter's diabetes for five years. Authorities say she lied to her daughter's school and to medical staff about the diagnosis https://www.buzzfeednews.com/article/ellievhall/mother-charged-daughter-death-diabetes?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546189201000
80,This Russian woman only discovered she was intersex after watching a viral video about it https://www.buzzfeed.com/patrickstrudwick/this-woman-only-discovered-she-was-intersex-after-watching?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546187700000
81,"Over 1 week into the government shutdown and with no end in sight, some federal workers going without pay are facing eviction. https://www.buzzfeednews.com/article/salvadorhernandez/federal-workers-government-shutdown?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546186200000
82,"A Chicago man has been charged after allegedly throwing his wife's two dogs off a balcony, killing one https://www.buzzfeednews.com/article/amberjamieson/a-chicago-man-allegedly-threw-his-wifes-two-chihuahuas-off?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546184892000
83,Just 65 of the year's most iconic tweets from Muslim Twitter https://www.buzzfeed.com/ikrd/here-are-65-of-the-most-iconic-tweets-from-muslim-twitter?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546183500000
84,"2018 brought us some very good dogs, a fashionable cat, and an absolute unit of a cow. These are our favorite animal moments of the year. pic.twitter.com/YM6Q4ozwRH",1546182000000
85,y'all really came through here https://www.buzzfeednews.com/article/stephaniemcneal/christmas-2018-weirdest-gifts?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546181463000
86,"The beluga whale picture from Melania Trump's ""What is she thinking?"" tweet turned into a giraffe and people are freaking out 😱🐳  https://www.buzzfeednews.com/article/gracewyler/melania-trump-whale-giraffe-tweet?bftwnews&utm_term=4ldqpgc#4ldqpgc … pic.twitter.com/atoa6bWS32",1546181269000
87,"If the government shutdown continues into January, a geologist with the Bureau of Land Management will likely lose his apartment.  Another federal employee said if she doesn't pay rent next week, she could be evicted. If she does, she'll be out of money. https://www.buzzfeednews.com/article/salvadorhernandez/federal-workers-government-shutdown?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546180280000
88,"It took 20 years, but the feds have charged a man in a child sex abuse case https://www.buzzfeednews.com/article/tylerkingkade/jensen-miles-city-montana-child-sex-abuse-federal-charges?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546178520000
89,This woman only discovered she was intersex after watching a viral video about it https://www.buzzfeed.com/patrickstrudwick/this-woman-only-discovered-she-was-intersex-after-watching?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546176660000
90,Melania Trump’s famous beluga whale tweet mysteriously turned into a giraffe and no one knows why https://www.buzzfeednews.com/article/gracewyler/melania-trump-whale-giraffe-tweet?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546175845000
91,"It took 20 years, but the feds have charged a man in a child sex abuse case  https://www.buzzfeednews.com/article/tylerkingkade/jensen-miles-city-montana-child-sex-abuse-federal-charges?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546174980000
92,"Trump made his first comments on the deaths of two migrant kids, blaming democrats and their parents https://www.buzzfeednews.com/article/juliareinstein/trump-migrant-children-deaths?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546173120000
93,"""Smallville"" actor Allison Mack argued that if scientology isn't forced labor then neither is her alleged sex cult https://www.buzzfeednews.com/article/amberjamieson/smallville-allison-mack-sex-cult-scientology?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546171320000
94,A hotel has fired two employees after they called the police on a black guest who was on the phone with his mom https://www.buzzfeednews.com/article/skbaer/doubletree-portland-black-man-kicked-out?bftwuk&utm_term=4ldqpgm#4ldqpgm …,1546169160000
95,"GoFundMe says it has refunded more than $400,000 to people who donated money after hearing the fake story of a homeless veteran who gave his last $20 to a woman whose car had run out of gas. https://www.buzzfeednews.com/article/mbvd/gofundme-refunds-money-new-jersey-couple-homeless-vet?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546156740000
96,"""Smallville"" actor Allison Mack tried to argue in court that if Scientology isn't ""forced labor,"" then neither is her alleged sex cult.  https://www.buzzfeednews.com/article/amberjamieson/smallville-allison-mack-sex-cult-scientology?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546154400000
97,18 reactions that sum up the Black Mirror choose-your-own-adventure episode (spoilers ahead) https://www.buzzfeed.com/scottybryan/posts-bandersnatch-black-mirror-episode?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546151460000
98,"More than 20 years after the alleged crimes, federal prosecutors have charged a former high school athletic trainer with sexual abuse.  https://www.buzzfeednews.com/article/tylerkingkade/jensen-miles-city-montana-child-sex-abuse-federal-charges?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546149600000
99,"2-year-old Abdullah Hassan, the boy with a brain condition whose Yemeni mother had to fight Trump's travel ban in order to be by his hospital bed in the US, has died. https://www.buzzfeednews.com/article/juliareinstein/abdullah-hassan-shaima-swileh-trump-muslim-ban-yemen?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546147860000
100,"The year in movies: Superheroes and musicals smashed, Han Solo and J.K. Rowling crashed. https://www.buzzfeednews.com/article/adambvary/movies-biggest-winners-and-losers-in-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546146060000
101,"From progress between North and South Korea to the royal wedding, 2018 was chock-full of historic milestones. pic.twitter.com/fW1MLRofFZ",1546144260000
102,"This woman only discovered she was intersex after watching a viral video about it. “Little did I know it would change my life so much.""  https://www.buzzfeed.com/patrickstrudwick/this-woman-only-discovered-she-was-intersex-after-watching?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546142460000
103,"A NASA probe is flying past the most distant object visited by a spacecraft on January 1.  The science world will be watching, but the government shutdown means NASA employees won't even be able to attend the festivities. https://www.buzzfeednews.com/article/danvergano/nasa-new-horizons-thule-watch?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546140660000
104,"The Putin penthouse. The NYPD’s secret files. The women jailed for false rape claims. Bias in figure skating. And the man who ""killed them all.”  It was another busy year on BuzzFeed News’s investigations desk. https://www.buzzfeednews.com/article/alexcampbell/investigations-buzzfeed-news-published-in-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546138860000
105,Things weren’t all bad this year — take a look at some of the most heartwarming moments of 2018 ❤️ pic.twitter.com/HJxmk1ivP2,1546137060000
106,A DoubleTree hotel has fired two employees after they called the police on a black guest who was talking to his mom on the phone and kicked him out. https://www.buzzfeednews.com/article/skbaer/doubletree-portland-black-man-kicked-out?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546135912000
107,"A man at a Dallas-area Macy's lashed out against ""Arabs"" and ""Democrats"" after two employees at the department store spoke Arabic to each other. https://www.buzzfeednews.com/article/maryanngeorgantopoulos/macys-man-lashes-out-arabs-democrats?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546135260000
108,More and more celebrities are finding out that being in a photo doesn't necessarily mean they have the right to post it on social media. https://www.buzzfeednews.com/article/claudiarosenbaum/celebrities-sued-paparazzi-photos-social-media?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546133460000
109,A father and three other people have been arrested after authorities discovered the bodies of his two missing children buried in his yard. https://www.buzzfeednews.com/article/ellievhall/missing-children-found-buried-georgia?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546131660000
110,"From following the Trump money trail to figuring out what ACTUALLY happens when you eat Tide Pods, we told the biggest stories that mattered to you this year. https://www.buzzfeednews.com/article/maggieschultz/buzzfeed-news-biggest-stories-of-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546129860000
111,"For decades, companies worked to cast doubt on whether sugar is harmful — until Cristin Kearns started digging up the dirt. https://www.buzzfeednews.com/article/stephaniemlee/cristin-kearns-sugar-industry-science?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546128060000
112,"2018 brought us some very good dogs, a fashionable cat, and an absolute moonit of a cow. These are our favorite animal moments of the year 😻 pic.twitter.com/rqJvssDXOw",1546126260000
113,"Starting on Sunday, Utah will lower its blood alcohol content limit to 0.05% — the lowest DUI standard in the nation. https://www.buzzfeednews.com/article/mbvd/utah-implementing-most-restrictive-dui-law?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546124460000
114,"Actor and comedian Rob Delaney said he hoped his tweets about spending his first Christmas without Henry, his young son who died in January, would help destigmatize grief https://www.buzzfeednews.com/article/michaelblackmon/rob-delaney-christmas-son-grief?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546123500000
115,"Over 3,000 people may have been exposed to hepatitis and HIV at an outpatient surgery center in New Jersey https://www.buzzfeednews.com/article/carolinekee/blood-borne-pathogens-hepatitis-hiv-surgery-center?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546122660000
116,"For years, the sugar industry worked to cast doubt on whether sugar is actually harmful. Here's how one dentist started digging up dirt and became their worst nightmare.  https://www.buzzfeednews.com/article/stephaniemlee/cristin-kearns-sugar-industry-science?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546121100000
117,The Putin penthouse. The NYPD's secret files. Horrific abuse at a Vermont orphanage.   Here are the biggest revelations from BuzzFeed News investigations in 2018.  https://www.buzzfeednews.com/article/alexcampbell/investigations-buzzfeed-news-published-in-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546119600000
