tweet,created_at,username
"Jennie-O is recalling 91,388 pounds of raw ground turkey that may be linked to the ongoing salmonella outbreak https://www.buzzfeednews.com/article/stephaniemlee/jennie-o-turkey-recall-salmonella-thanksgiving?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542402378000,Buzzfeed
US immigration officials are discussing a proposal that would send those who arrive at the US-Mexico border back to Mexico while their immigration cases are being processed https://www.buzzfeednews.com/article/hamedaleaziz/trump-ways-migrants-wait-mexico?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542402905000,Buzzfeed
"The House Ethics Committee reprimanded outgoing Nevada Rep. Ruben Kihuen for making “persistent and unwanted advances” toward women he worked with, but did not recommend any disciplinary action against him https://www.buzzfeednews.com/article/lissandravilla/ruben-kihuen-reprimand-house-ethics-committee?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542403217000,Buzzfeed
President Trump gets nostalgic after awarding Elvis Presley the Medal of Freedom  [Tap to expand]  https://bbc.in/2QNlQG9  pic.twitter.com/rPlOWVWvMu,1542405192000,BBC
Federal prosecutors are walking back a statement in court filings linking a white supremacist arrested on firearms charges with the alleged Pittsburgh synagogue shooter https://www.buzzfeednews.com/article/zoetillman/white-supremacist-dc-arrest-pittsburgh-mail-boms?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542405202000,Buzzfeed
"You may be in love, have a crush, or just lusting — but this is what's actually happening in your body 💗 pic.twitter.com/Z46GxED7yi",1542406080000,Buzzfeed
"San Francisco, Stockton, and Sacramento were ranked the world's three ""most polluted cities"" Friday due to California wildfires, and stores are sprinting to keep up with demand for air filters and masks. https://www.buzzfeednews.com/article/leticiamiranda/california-stores-running-out-air-masks-purifiers-wildfires?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542406432000,Buzzfeed
"The House Ethics Committee reprimanded Rep. Mark Meadows of North Carolina, the chairman of the conservative House Freedom Caucus, for his handling of sexual harassment allegations made by female staffers against his former chief-of-staff https://www.buzzfeednews.com/article/lissandravilla/mark-meadows-ethics-committee-sexual-harassment-staff?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542406848000,Buzzfeed
Ex-Dallas Cowboy Jeff Rohrer to wed same-sex partner https://bbc.in/2QPxvUQ ,1542406882000,BBC
"Stacey Abrams has effectively ended her campaign for governor in Georgia: ""I acknowledge that Brian Kemp will be certified as the victor."" https://www.buzzfeednews.com/article/darrensands/stacey-abrams-brian-kemp-georgia-election-results-governor?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542407016000,Buzzfeed
Lawyers are asking the Supreme Court to decide whether Trump's appointment of Acting Attorney General Matthew Whitaker is valid https://www.buzzfeednews.com/article/chrisgeidner/lawyers-ask-the-supreme-court-to-rule-on-the-validity-of?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542407519000,Buzzfeed
"Nicholas Godejohn, the ex-boyfriend of Gypsy Rose Blanchard, was found guilty of first-degree murder for killing Gypsy's mother after she’d spent years convincing the world that her daughter suffered debilitating diseases https://www.buzzfeednews.com/article/jtes/nicholas-godejohn-guilty-dee-dee-blanchard-gypsy?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542407752000,Buzzfeed
"If you’re in an area impacted by wildfires, health experts recommend staying indoors, especially in buildings with circulated air, and wearing specific masks when going outside https://www.buzzfeed.com/zahrahirji/california-bad-air-wildfires?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542408096000,Buzzfeed
Trump 'personally answers Mueller Russia questions' https://bbc.in/2QOxkcB ,1542409444000,BBC
Georgia Democrat Stacey Abrams to challenge governor poll loss https://bbc.in/2DG0aZT ,1542410141000,BBC
